COURSE_ID,COURSE_NAME,CROSS_LISTED_FLAG,CROSS_LISTED_NAME,LDAP_UID,FIRST_NAME,LAST_NAME,EMAIL_ADDRESS,EVALUATE,DEPT_FORM,EVALUATION_TYPE,MODULAR_COURSE,START_DATE,END_DATE
2015-B-32903,GWS 10 LEC 001 INT GENDER/WOM STDY,,,128533,Alan,Aaaa,aaaa@berkeley.edu,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32906,GWS 10 DIS 101 INT GENDER/WOM STDY,,,125570,Benny,Bbbb,bbbb@berkeley.edu,Y,GWS,G,,01-26-2015,05-11-2015
2015-B-32909,GWS 10 DIS 102 INT GENDER/WOM STDY,,,562283,Clarice,Cccc,cccc@berkeley.edu,Y,GWS,G,,01-26-2015,05-11-2015
2015-B-32912,GWS 10 DIS 103 INT GENDER/WOM STDY,,,562283,Clarice,Cccc,cccc@berkeley.edu,Y,GWS,G,,01-26-2015,05-11-2015
2015-B-32915,GWS 10 DIS 104 INT GENDER/WOM STDY,,,125570,Benny,Bbbb,bbbb@berkeley.edu,Y,GWS,G,,01-26-2015,05-11-2015
2015-B-34818,LGBT 100 LEC 001 SPECIAL TOPICS,,,77865,Doris,Dddd,dddd@berkeley.edu,,LGBT,F,Y,02-01-2015,04-01-2015
2015-B-32957,GWS 102 LEC 001 TRANSNATIONAL FEM,,,211278,Edgar,Eeee,eeee@berkeley.edu,,GWS,F,,01-26-2015,05-11-2015
2015-B-32960,GWS 103 LEC 001 IDENTITY ACROSS DIF,,,104033,Flora,Ffff,ffff@berkeley.edu,,GWS,F,,01-26-2015,05-11-2015
2015-B-32963,GWS 111 LEC 001 SPECIAL TOPICS,,,148533,Guy,Gggg,gggg@berkeley.edu,,GWS,F,,01-26-2015,05-11-2015
2015-B-32969,GWS 115 LEC 001 ENGAGE SCHOLAR WOMG,,,211278,Edgar,Eeee,eeee@berkeley.edu,,GWS,F,,01-26-2015,05-11-2015
2015-B-32975,GWS 130AC LEC 001 GEN RACE NAT & HLTH,,,1052998,Hilda,Hhhh,hhhh@berkeley.edu,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32978,"GWS 133AC LEC 001 WOM,MEN,OTH ANIMALS",,,500892,Irma,Iiii,iiii@berkeley.edu,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32981,GWS 140 LEC 001 FEMINIST CULTUR STD,,,270795,Jacques,Jjjj,jjjj@berkeley.edu,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32987,GWS 195 SEM 001 SENIOR SEMINAR,,,313458,Kevin,Kkkk,kkkk@berkeley.edu,,GWS,F,,01-26-2015,05-11-2015
2015-B-34803,LGBT 20AC LEC 001 ALTERNATV SEX IDENT,,,942792,Laura,Llll,llll@berkeley.edu,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-33038,GWS 210 LEC 001 ADV INTERDISCIPL ST,,,392258,Marcia,Mmmm,mmmm@berkeley.edu,,GWS,F,,01-26-2015,05-11-2015
2015-B-33041,GWS 210 LEC 002 ADV INTERDISCIPL ST,,,181992,Nona,Nnnn,nnnn@berkeley.edu,,GWS,F,,01-26-2015,05-11-2015
2015-B-33044,GWS 210 LEC 003 ADV INTERDISCIPL ST,,,148533,Guy,Gggg,gggg@berkeley.edu,,GWS,F,,01-26-2015,05-11-2015
2015-B-32920,GWS 24 SEM 001 FRESHMAN SEMINARS,,,223444,Olivia,Oooo,oooo@berkeley.edu,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32921,GWS 40 LEC 001 SPECIAL TOPICS,,,304281,Prudence,Pppp,pppp@berkeley.edu,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32924,GWS 50AC LEC 001 GENDER IN AMER CULT,,,304281,Prudence,Pppp,pppp@berkeley.edu,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32984,GWS C146A LEC 001 REP SEXUALITY/LIT,Y,GWS/LGBT C146A LEC 001,942792,Laura,Llll,llll@berkeley.edu,Y,LGBT,F,,01-26-2015,05-11-2015
2015-B-34821,LGBT C146A LEC 001 REP SEXUALITY/LIT,Y,GWS/LGBT C146A LEC 001,942792,Laura,Llll,llll@berkeley.edu,Y,LGBT,F,,01-26-2015,05-11-2015
