COURSE_ID,COURSE_NAME,CROSS_LISTED_FLAG,CROSS_LISTED_NAME,LDAP_UID,FIRST_NAME,LAST_NAME,EMAIL_ADDRESS,EVALUATE,DEPT_FORM,EVALUATION_TYPE,MODULAR_COURSE,START_DATE,END_DATE
2015-B-58070,MCELLBI 102 LEC 001 SURV BIOCHEM & MOBI,,,100001,Instructor,One,instructor1@berkeley.edu,Y,MCELLBI,F,Y,2/1/2015,4/1/2015
2015-B-58070,MCELLBI 102 LEC 001 SURV BIOCHEM & MOBI,,,100002,Instructor,Two,instructor2@berkeley.edu,Y,MCELLBI,F,Y,2/1/2015,4/1/2015
2015-B-58070,MCELLBI 102 LEC 001 SURV BIOCHEM & MOBI,,,100003,Instructor,Three,instructor3@berkeley.edu,Y,MCELLBI,F,Y,2/1/2015,4/1/2015
2015-B-58073,MCELLBI 102 DIS 101 SURV BIOCHEM & MOBI,,,100004,Instructor,Four,instructor4@gmail.com,,MCELLBI,G,Y,2/1/2015,4/1/2015
2015-B-58076,MCELLBI 102 DIS 102 SURV BIOCHEM & MOBI,,,100005,Instructor,Five,instructor5@berkeley.edu,,MCELLBI,G,Y,2/1/2015,4/1/2015
2015-B-07203,BIOLOGY 1A LEC 001 GENERAL BIOLOGY LEC,,,100006,Instructor,SIX,instructor6@berkeley.edu,Y,MCELLBI,F,,1/20/2015,5/8/2015
2015-B-07203,BIOLOGY 1A LEC 001 GENERAL BIOLOGY LEC,,,100007,Instructor,Seven,instructor7@berkeley.edu,Y,MCELLBI,F,,1/20/2015,5/8/2015
2015-B-07203,BIOLOGY 1A LEC 001 GENERAL BIOLOGY LEC,,,100008,Instructor,Eight,instructor8@berkeley.edu,,MCELLBI,F,,1/20/2015,5/8/2015
2015-B-07212,BIOLOGY 1A DIS 101 GENERAL BIOLOGY LEC,,,100009,Instructor,Nine,instructor9@gmail.com,Y,MCELLBI,G,,1/20/2015,5/8/2015
2015-B-07215,BIOLOGY 1A DIS 102 GENERAL BIOLOGY LEC,,,100010,Instructor,Ten,instructor10@YAHOO.COM,Y,MCELLBI,F,,1/20/2015,5/8/2015
2015-B-07302,BIOLOGY 1AL LEC 001 GENERAL BIOLOGY LAB,,,100011,Instructor,ELEVEN,instructor11@berkeley.edu,,MCELLBI,F,,1/20/2015,5/8/2015
2015-B-07308,BIOLOGY 1AL LAB 213 GENERAL BIOLOGY LAB,,,100012,Instructor,Twelve,instructor12@comcast.net,Y,MCELLBI,F,,1/20/2015,5/8/2015
2015-B-59441,MCELLBI C212C LEC 001 CHEMICAL BIOL III,Y,"CHEM C271A, C271B, C271C, MCELLBI C212A, C212B, C212C LEC 001",100013,Instructor,Thirteen,instructor13@berkeley.edu,,,F,,1/20/2015,5/8/2015
2015-B-57554,"MCELLBI C61 LEC 001 BRAIN, MIND, BEHAV",Y,MCELLBI/PSYCH C61 LEC 001,100014,Instructor,FOURTEEN,instructor14@berkeley.edu,,,F,,1/20/2015,5/8/2015
2015-B-12606,CHEM C271C LEC 001 CHEMICAL BIOL III,Y,"CHEM C271A, C271B, C271C, MCELLBI C212A, C212B, C212C LEC 001",100013,Instructor,Thirteen,instructor13@berkeley.edu,Y,MCELLBI,F,,1/20/2015,5/8/2015
2015-B-12606_GSI,CHEM C271C LEC 001 CHEMICAL BIOL III,Y,"CHEM C271A, C271B, C271C, MCELLBI C212A, C212B, C212C LEC 001",100015,Instructor,Fifteen,instructor15@berkeley.edu,Y,MCELLBI,G,,1/20/2015,5/8/2015
2015-B-12606_GSI,CHEM C271C LEC 001 CHEMICAL BIOL III,Y,"CHEM C271A, C271B, C271C, MCELLBI C212A, C212B, C212C LEC 001",100016,Instructor,Sixteen,instructor16@gmail.com,Y,MCELLBI,G,,1/20/2015,5/8/2015
2015-B-73720,"PSYCH C61 LEC 001 BRAIN, MIND, BEHAV",Y,MCELLBI/PSYCH C61 LEC 001,100014,Instructor,FOURTEEN,instructor14@berkeley.edu,,,F,,1/20/2015,5/8/2015
