COURSE_ID,COURSE_ID_2,COURSE_NAME,CROSS_LISTED_FLAG,CROSS_LISTED_NAME,DEPT_NAME,CATALOG_ID,INSTRUCTION_FORMAT,SECTION_NUM,PRIMARY_SECONDARY_CD,LDAP_UID,SIS_ID,FIRST_NAME,LAST_NAME,EMAIL_ADDRESS,INSTRUCTOR_FUNC,BLUE_ROLE,EVALUATE,DEPT_FORM,EVALUATION_TYPE,MODULAR_COURSE,START_DATE,END_DATE
2015-B-87672,2015-B-87672,STAT C205A LEC 001 - PROB THEORY,Y,"PROB THEORY (54432)",STAT,C205A,LEC,001,P,10316,SIS_ID:99999999,Audria,Blanco,blanco@berkeley.edu,23,,,,,,,
2015-B-11577_CHEM,2015-B-11577_CHEM,2015-B-11577_CHEM,"CHEM C110L LAB 101 BIOCHEM & MOLBI (CHEM EVAL)",Y,,CHEM,C110L,LAB,101,S,Y,CHEM,G,,01-20-2015,05-10-2015
2015-B-11577_MCB,2015-B-11577_MCB,"CHEM C110L LAB 101 BIOCHEM & MOLBI (MCB EVAL)",Y,,CHEM,C110L,LAB,101,S,Y,MCELLBI,G,,01-20-2015,05-10-2015
2015-B-54432,2015-B-54432,MATH C218A LEC 001 - PROB THEORY,Y,"PROB THEORY (87672, 87673)",MATH,C218A,LEC,001,P,10316,SIS_ID:99999999,Audria,Blanco,blanco@berkeley.edu,23,,,,,,,
2015-B-87675,2015-B-87675,STAT C206A LEC 001 - STOCHASTIC PROCESS,Y,"STOCHASTIC PROCESS (54441)",STAT,C206A,LEC,001,P,10316,SIS_ID:99999999,Audria,Blanco,blanco@berkeley.edu,23,,,,,,,
2015-B-54441,2015-B-54441,MATH C223A LEC 001 - STOCHASTIC POCESS,Y,"STOCHASTIC PROCESS (87675)",MATH,C223A,LEC,001,P,10316,SIS_ID:99999999,Audria,Blanco,blanco@berkeley.edu,23,,,,,,,
2015-B-87690,2015-B-87690,STAT C239A LEC 001 - STATS SOCI SCI,Y,"STATS SOCI SCI (72199, 87691)",STAT,C239A,LEC,001,P,10316,SIS_ID:99999999,Audria,Blanco,blanco@berkeley.edu,23,,,,,,,
2015-B-72198,2015-B-72198,POL SCI C236A LEC 001 - STATS SOCI SCI,Y,"STATS SOCI SCI (87690)",POL SCI,C236A,LEC,001,P,10316,SIS_ID:99999999,Audria,Blanco,blanco@berkeley.edu,23,,,,,,,
2015-B-71523,2015-B-71523,"POL SCI 98 GRP 003 DIRECTED GROUP STDY (FACULTY EVAL ONLY)",,"DIRECTED GROUP STDY (71523, 71949)","POL SCI",98,GRP,3,P,Y,"POL SCI",F,,01-20-2015,05-10-2015
2015-B-71523_GSI,2015-B-71523_GSI,"POL SCI 98 GRP 003 DIRECTED GROUP STDY (GSI EVAL ONLY)",,"DIRECTED GROUP STDY (71523, 71949)","POL SCI",98,GRP,3,P,Y,"POL SCI",G,,01-20-2015,05-10-2015
2015-B-87693,2015-B-87693,STAT C239A DIS 001 - STATS SOCI SCI,Y,,STAT,C239A,DIS,001,P,10316,SIS_ID:99999999,Audria,Blanco,blanco@berkeley.edu,23,,,,,,,
2015-B-87693_GSI,2015-B-87693_GSI,STAT C239A DIS 001 - STATS SOCI SCI,Y,,STAT,C239A,DIS,001,P,10316,SIS_ID:99999999,Audria,Blanco,blanco@berkeley.edu,23,,,,,,,
2015-B-02567,2015-B-02567,ANTHRO 124A LEC 001 ARCH SOUTH PACIFIC,Y,,ANTHRO,124A,LEC,001,P,10316,SIS_ID:99999999,Audria,Blanco,blanco@berkeley.edu,23,,,,,,,
2015-B-18215_A,2015-B-18215_A,"DEMOG C175 LEC 001 ECON DEMOGRAPHY",Y,"ECON DEMOGRAPHY (18215, 22729)",DEMOG,C175,LEC,1,P,Y,ECON,F,Y,01-20-2015,03-07-2015
2015-B-18215_B,2015-B-18215_B,"DEMOG C175 LEC 001 ECON DEMOGRAPHY",Y,"ECON DEMOGRAPHY (18215, 22729)",DEMOG,C175,LEC,1,P,Y,ECON,F,Y,03-09-2015,05-02-2015
2015-B-87673,2015-B-87673,STAT C205A LEC 001 - PROB THEORY,Y,,STAT,C205A,LEC,001,P,10316,SIS_ID:99999999,Audria,Blanco,blanco@berkeley.edu,23,,,,,,,
2015-B-72199,2015-B-72199,POL SCI C236A LEC 001 - STATS SOCI SCI,Y,,POL SCI,C236A,LEC,001,P,10316,SIS_ID:99999999,Audria,Blanco,blanco@berkeley.edu,23,,,,,,,
2015-B-87691,2015-B-87691,STAT C239A LEC 001 - STATS SOCI SCI,Y,,STAT,C239A,LEC,001,P,10316,SIS_ID:99999999,Audria,Blanco,blanco@berkeley.edu,23,,,,,,,
2015-B-22729_A,2015-B-22729_A,"ECON C175 LEC 001 ECON DEMOGRAPHY",Y,"ECON DEMOGRAPHY (18215, 22729)",ECON,C175,LEC,1,P,Y,ECON,F,Y,01-20-2015,03-07-2015
2015-B-22729_B,2015-B-22729_B,"ECON C175 LEC 001 ECON DEMOGRAPHY",Y,"ECON DEMOGRAPHY (18215, 22729)",ECON,C175,LEC,1,P,Y,ECON,F,Y,03-09-2015,05-02-2015
