COURSE_ID,COURSE_ID_2,COURSE_NAME,CROSS_LISTED_FLAG,CROSS_LISTED_NAME,DEPT_NAME,CATALOG_ID,INSTRUCTION_FORMAT,SECTION_NUM,PRIMARY_SECONDARY_CD,LDAP_UID,SIS_ID,FIRST_NAME,LAST_NAME,EMAIL_ADDRESS,INSTRUCTOR_FUNC,BLUE_ROLE,EVALUATE,DEPT_FORM,EVALUATION_TYPE,MODULAR_COURSE,START_DATE,END_DATE
2015-B-32903,2015-B-32903,GWS 10 LEC 001 INT GENDER/WOM STDY,,,GWS,10,LEC,001,P,128533,UID:128533,Alan,Aaaa,aaaa@berkeley.edu,1,23,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32906,2015-B-32906,GWS 10 DIS 101 INT GENDER/WOM STDY,,,GWS,10,DIS,101,S,125570,19291560,Benny,Bbbb,bbbb@berkeley.edu,2,23,Y,GWS,G,,01-26-2015,05-11-2015
2015-B-32909,2015-B-32909,GWS 10 DIS 102 INT GENDER/WOM STDY,,,GWS,10,DIS,102,S,562283,10945601,Clarice,Cccc,cccc@berkeley.edu,2,23,Y,GWS,G,,01-26-2015,05-11-2015
2015-B-32912,2015-B-32912,GWS 10 DIS 103 INT GENDER/WOM STDY,,,GWS,10,DIS,103,S,562283,10945601,Clarice,Cccc,cccc@berkeley.edu,2,23,Y,GWS,G,,01-26-2015,05-11-2015
2015-B-32915,2015-B-32915,GWS 10 DIS 104 INT GENDER/WOM STDY,,,GWS,10,DIS,104,S,125570,19291560,Benny,Bbbb,bbbb@berkeley.edu,2,23,Y,GWS,G,,01-26-2015,05-11-2015
2015-B-34818,2015-B-34818,LGBT 100 LEC 001 SPECIAL TOPICS,,,LGBT,100,LEC,001,P,77865,UID:77865,Doris,Dddd,dddd@berkeley.edu,1,23,Y,LGBT,F,Y,02-01-2015,04-01-2015
2015-B-32957,2015-B-32957,GWS 102 LEC 001 TRANSNATIONAL FEM,,,GWS,102,LEC,001,P,211278,UID:211278,Edgar,Eeee,eeee@berkeley.edu,1,23,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32960,2015-B-32960,GWS 103 LEC 001 IDENTITY ACROSS DIF,,,GWS,103,LEC,001,P,104033,UID:104033,Flora,Ffff,ffff@berkeley.edu,1,23,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32963,2015-B-32963,GWS 111 LEC 001 SPECIAL TOPICS,,,GWS,111,LEC,001,P,148533,UID:148533,Guy,Gggg,gggg@berkeley.edu,1,23,,GWS,F,,01-26-2015,05-11-2015
2015-B-32969,2015-B-32969,GWS 115 LEC 001 ENGAGE SCHOLAR WOMG,,,GWS,115,LEC,001,P,211278,UID:211278,Edgar,Eeee,eeee@berkeley.edu,1,23,,GWS,F,,01-26-2015,05-11-2015
2015-B-32975,2015-B-32975,GWS 130AC LEC 001 GEN RACE NAT & HLTH,,,GWS,130AC,LEC,001,P,1052998,UID:1052998,Hilda,Hhhh,hhhh@berkeley.edu,1,23,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32978,2015-B-32978,"GWS 133AC LEC 001 WOM,MEN,OTH ANIMALS",,,GWS,133AC,LEC,001,P,500892,UID:500892,Irma,Iiii,iiii@berkeley.edu,1,23,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32981,2015-B-32981,GWS 140 LEC 001 FEMINIST CULTUR STD,,,GWS,140,LEC,001,P,270795,UID:270795,Jacques,Jjjj,jjjj@berkeley.edu,1,23,Y,GWS,F,,01-26-2015,05-11-2015
2015-B-32987,2015-B-32987,GWS 195 SEM 001 SENIOR SEMINAR,,,GWS,195,SEM,001,P,313458,UID:313458,Kevin,Kkkk,kkkk@berkeley.edu,1,23,Y,GWS,F,,01-26-2015,05-11-2015
