LDAP_UID,FIRST_NAME,LAST_NAME,EMAIL_ADDRESS,SUPERVISOR_GROUP,PRIMARY_ADMIN,SECONDARY_ADMIN,DEPT_NAME_1,DEPT_NAME_2,DEPT_NAME_3,DEPT_NAME_4,DEPT_NAME_5
258967,Charles,Chem,chemadmin1@berkeley.edu,DEPT_ADMIN,,Y,CHEM,,,,
23674,Charlotte,Chem,chemdean@berkeley.edu,DEAN,,,CHEM,,,,
234096,Cherise,Chem,chemchair@berkeley.edu,CHAIR,,,CHEM,,,,
918764,Chuck,Chem,chemadmin2@berkeley.edu,DEPT_ADMIN,Y,,CHEM,,,,
324908,Chloe,Chem,chemadmin3@berkeley.edu,DEPT_ADMIN,,Y,CHEM,,,,
23470,Ernest,Eps,eps1@berkeley.edu,DEPT_ADMIN,Y,,EPS,,,,
346143,Evelyn,Eps,eps2@berkeley.edu,DEPT_ADMIN,,Y,EPS,,,,
907632,Emilio,Econ,econ1@berkeley.edu,DEPT_ADMIN,Y,,ECON,,,,
908345,Edgar,Econ,econ2@berkeley.edu,DEPT_ADMIN,,Y,ECON,,,,
675981,Everett,Econ,econ3@berkeley.edu,DEPT_ADMIN,,,ECON,,,,
23467,George,Gws,gws1@berkeley.edu,DEPT_ADMIN,,,GWS,,,,
239062,Lilia,Lgbt,lgbt1@berkeley.edu,DEPT_ADMIN,,,LGBT,,,,
425096,Gail,Gws-Lgbt,gwslgbt1@berkeley.edu,CHAIR,,,GWS,LGBT,,,
398493,Irma,Info,infodean@berkeley.edu,DEAN,,,INFO,DATASCI,,,
498793,Ivy,Info,infochair@berkeley.edu,CHAIR,,,INFO,DATASCI,,,
908783,Ilya,Info,info1@berkeley.edu,DEPT_ADMIN,,,INFO,DATASCI,,,
789265,Ingrid,Info,info2@berkeley.edu,DEPT_ADMIN,,,INFO,DATASCI,,,
867954,Igor,Integbi,integbi1@berkeley.edu,DEPT_ADMIN,,,INTEGBI,,,,
256446,Irving,Integbi,integbi2@berkeley.edu,DEPT_ADMIN,,Y,INTEGBI,MCELLBI,,,
49085,Inez,Integbi,integbi3@berkeley.edu,DEPT_ADMIN,Y,,INTEGBI,,,,
456898,Isidro,Integbi,integbi4@berkeley.edu,DEPT_ADMIN,,,INTEGBI,,,,
89745,Ivan,Integbi,integbichair@berkeley.edu,CHAIR,,,INTEGBI,,,,
245698,Mac,McEllbi,mcellbi1@berkeley.edu,DEPT_ADMIN,Y,,MCELLBI,,,,
984562,Bryan,Biology,biology1@berkeley.edu,DEPT_ADMIN,,,MCELLBI,INTEGBI,,,
245968,Bronwen,Biology,biology2@berkeley.edu,DEPT_ADMIN,,,INTEGBI,MCELLBI,,,
26455,Paul,Polsci,polsci1@berkeley.edu,DEPT_ADMIN,,Y,POL SCI,,,,
456789,Pauline,Polsci,polsci2@berkeley.edu,DEPT_ADMIN,,Y,POL SCI,,,,
654546,Philip,Polsci,polscichair@berkeley.edu,CHAIR,,,POL SCI,,,,
248956,Prudence,Polsci,polsci3@berkeley.edu,DEPT_ADMIN,Y,,POL SCI,,,,
245684,Pedro,Psych,psych1@berkeley.edu,DEPT_ADMIN,,Y,PSYCH,,,,
569889,Phyllis,Psych,psychchair@berkeley.edu,CHAIR,,,PSYCH,,,,
459867,Pius,Psych,psych2@berkeley.edu,DEPT_ADMIN,,,PSYCH,,,,
454262,Peter,Portug,portug@berkeley.edu,DEPT_ADMIN,,,,PORTUG,,,
857904,Stanley,Spanish,spanish@berkeley.edu,DEPT_ADMIN,,,SPANISH,,,,
224598,Simon,Spanish-Portug,spanishportug1@berkeley.edu,DEPT_ADMIN,,Y,SPANISH,PORTUG,CATALAN,ILA,
459684,Stella,Spanish-Portug,spanishportug2@berkeley.edu,DEPT_ADMIN,,,SPANISH,PORTUG,CATALAN,ILA,
246522,Seamus,Stat,stat@berkeley.edu,DEPT_ADMIN,,,STAT,,,,
244566,Sharon,Stat,statchair@stat.berkeley.edu,CHAIR,,,STAT,,,,
